datum,novi_pozitivni,vkupno,active
2020-01-22,571,571,554
2020-01-23,259,830,771
2020-01-24,457,1287,1208
2020-01-25,688,1975,1870
2020-01-26,769,2744,2613
2020-01-27,1771,4515,4349
2020-01-28,1459,5974,5739
2020-01-29,1737,7711,7417
2020-01-30,1981,9692,9308
2020-01-31,2099,11791,11289
2020-02-01,2589,14380,13748
2020-02-02,2825,17205,16369
2020-02-03,3235,20440,19383
2020-02-04,3884,24324,22942
2020-02-05,3694,28018,26302
2020-02-06,3143,31161,28985
2020-02-07,3385,34546,31774
2020-02-08,2652,37198,33738
2020-02-09,2973,40171,35982
2020-02-10,2467,42638,37626
2020-02-11,2015,44653,38791
2020-02-12,14108,58761,51591
2020-02-13,5090,63851,55748
2020-02-14,2641,66492,56873
2020-02-15,2008,68500,57416
2020-02-16,2048,70548,57934
2020-02-17,1888,72436,58016
2020-02-18,1749,74185,57805
2020-02-19,391,74576,56301
2020-02-20,889,75465,54921
2020-02-21,823,76288,53284
2020-02-22,648,76936,52093
2020-02-23,214,77150,49824
2020-02-24,508,77658,47765
2020-02-25,406,78064,45600
2020-02-26,433,78497,43258
2020-02-27,327,78824,39919
2020-02-28,427,79251,37414
2020-02-29,573,79824,35129
2020-03-01,202,80026,32616
2020-03-02,125,80151,30004
2020-03-03,119,80270,27423
2020-03-04,139,80409,25353
2020-03-05,143,80552,23784
2020-03-06,99,80651,22179
2020-03-07,44,80695,20533
2020-03-08,40,80735,19016
2020-03-09,19,80754,17721
2020-03-10,24,80778,16136
2020-03-11,15,80793,14831
2020-03-12,20,80813,13524
2020-03-13,11,80824,12088
2020-03-14,20,80844,10733
2020-03-15,16,80860,9893
2020-03-16,21,80881,8967
2020-03-17,13,80894,8056
2020-03-18,34,80928,7263
2020-03-19,39,80967,6569
2020-03-20,41,81008,6013
2020-03-21,46,81054,5353
2020-03-22,39,81093,5120
2020-03-23,78,81171,4735
2020-03-24,47,81218,4287
2020-03-25,67,81285,3947
2020-03-26,55,81340,3460
